#����t�@�C��,20180925150704.m2ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�J�n�t���[��,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�I���t���[��,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�m�x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�t�B���^,Butterworth 12.0Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�P��,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,Nose(x),Nose(z),Neck(x),Neck(z),R Shoulder(x),R Shoulder(z),R Elbow(x),R Elbow(z),R Wrist(x),R Wrist(z),L Shoulder(x),L Shoulder(z),L Elbow(x),L Elbow(z),L Wrist(x),L Wrist(z),Mid Hip(x),Mid Hip(z),R Hip(x),R Hip(z),R Knee(x),R Knee(z),R Ankle(x),R Ankle(z),L Hip(x),L Hip(z),L Knee(x),L Knee(z),L Ankle(x),L Ankle(z),R Eye(x),R Eye(z),L Eye(x),L Eye(z),R Ear(x),R Ear(z),L Ear(x),L Ear(z),L Big Toe(x),L Big Toe(z),L Small Toe(x),L Small Toe(z),L Heel(x),L Heel(z),R Big Toe(x),R Big Toe(z),R Small Toe(x),R Small Toe(z),R Heel(x),R Heel(z),COG(�S�g)(x),COG(�S�g)(z),COG(���� + ����)(x),COG(���� + ����)(z)
62,-231.507,-15.9572,-232.083,-35.7051,-215.184,-35.4775,-188.905,-45.0679,-200.02,-24.6667,-248.006,-35.1478,-275.316,-42.2346,-260.835,-24.1883,-230.82,-87.4081,-220.585,-87.5185,-216.421,-131.416,-216.189,-170.163,-242.326,-88.2046,-247.236,-131.405,-245.907,-167.667,-227.405,-13.1175,-233.711,-13.0098,-221.873,-14.0207,-238.38,-14.8474,-243.448,-182.055,-248.776,-180.258,-244.5,-169.596,-218.667,-183.589,-214.352,-182.629,-217.913,-171.459,-228.632,-78.1437,-231.479,-84.0353
63,-231.45,-13.145,-232.168,-32.1887,-215.53,-31.7567,-189.043,-43.3374,-200.009,-23.3848,-248.451,-32.1818,-275.181,-40.9521,-263.027,-23.9574,-231.459,-84.5428,-221.093,-84.4381,-217.136,-128.927,-216.514,-168.173,-242.544,-85.1255,-247.862,-128.258,-245.709,-166.073,-227.314,-9.02631,-234.049,-9.1015,-221.954,-10.2742,-238.979,-11.4396,-243.559,-178.944,-249.148,-177.983,-243.711,-166.941,-218.96,-181.488,-213.66,-179.564,-217.068,-171.578,-229,-75.3243,-231.873,-81.0239
64,-231.439,-10.9878,-232.168,-29.7221,-215.175,-30.1562,-188.418,-41.8439,-199.909,-22.0394,-248.713,-29.6861,-275.338,-41.4345,-264.906,-23.4094,-231.453,-81.4476,-221.219,-80.7895,-217.772,-127.947,-216.367,-166.829,-242.942,-82.1783,-247.9,-125.244,-246.689,-165.199,-227.389,-7.59795,-233.686,-7.57029,-221.831,-8.35457,-239.058,-8.56328,-245.309,-177.887,-250.005,-176.755,-243.92,-166.499,-217.915,-180.127,-212.307,-178.084,-217.033,-168.914,-229.123,-72.9776,-231.984,-78.4392
65,-231.53,-9.09189,-232.114,-28.7146,-214.95,-28.8224,-188.918,-41.1734,-200.097,-20.6062,-248.54,-28.7463,-275.2,-40.9672,-265.085,-23.4729,-231.51,-79.5305,-221.139,-79.6189,-217.791,-128.312,-215.655,-166.705,-243.179,-79.5147,-247.883,-123.453,-247.692,-165.182,-227.352,-7.73362,-233.443,-7.70748,-222.025,-7.75484,-238.929,-8.24348,-247.146,-178.246,-252.096,-177.397,-243.634,-167.218,-216.33,-179.47,-210.927,-178.062,-216.553,-168.75,-229.156,-71.7533,-232.005,-77.152
66,-232.047,-9.04149,-232.215,-28.9703,-215.743,-28.2962,-189.161,-41.9359,-199.834,-22.073,-248.554,-28.946,-273.899,-42.2003,-264.955,-23.8681,-232.071,-79.6107,-221.197,-79.3839,-218.493,-127.803,-215.158,-166.924,-243.013,-79.6312,-247.896,-124.638,-248.055,-166.108,-227.395,-7.4243,-234.288,-7.47404,-222.449,-7.46913,-239.087,-8.22884,-247.903,-178.678,-253.132,-177.358,-243.982,-166.939,-215.665,-181.482,-210.226,-178.78,-216.201,-170.248,-229.381,-71.987,-232.273,-77.3535
67,-232.201,-10.9971,-232.1,-29.4561,-215.698,-28.6553,-188.899,-43.8604,-199.465,-23.2972,-248.738,-29.5177,-273.988,-44.9045,-265.122,-25.0688,-232.174,-81.4165,-221.193,-80.3992,-219.096,-128.483,-214.902,-169.431,-243.116,-82.113,-247.933,-127.428,-248.451,-167.564,-227.392,-7.91899,-234.85,-7.85442,-222.019,-8.60255,-238.892,-8.56218,-247.945,-179.488,-253.024,-178.175,-246.402,-168.802,-215.152,-182.875,-209.592,-180.166,-215.916,-172.284,-229.446,-73.4245,-232.334,-78.7275
68,-232.087,-13.9528,-232.239,-30.9588,-215.685,-30.4824,-189.181,-46.6963,-199.864,-24.8419,-249.04,-31.6506,-274.417,-47.0574,-265.585,-27.8112,-232.089,-84.4648,-221.18,-84.0657,-218.529,-131.112,-214.467,-172.335,-243.099,-84.458,-248.518,-129.507,-248.673,-170.035,-227.398,-10.0819,-234.912,-10.1561,-221.834,-10.7207,-239.149,-11.4611,-246.431,-182.922,-252.28,-182.088,-248.659,-172.266,-214.857,-184.227,-209.535,-183.469,-215.541,-174.919,-229.475,-75.8332,-232.343,-81.1298
69,-232.181,-18.4003,-232.741,-35.0592,-215.715,-34.797,-189.623,-50.7064,-200.085,-29.435,-249.505,-35.6726,-274.104,-51.0606,-265.75,-31.3052,-232.145,-88.246,-221.194,-87.9507,-217.69,-134.688,-214.281,-176.299,-243.056,-88.2881,-248.578,-133.59,-249.223,-174.46,-228.058,-14.1199,-235.573,-14.0554,-222.64,-14.1885,-239.548,-14.7766,-246.652,-187.566,-252.407,-185.707,-249.247,-177.043,-214.541,-189.101,-209.578,-188.439,-215.169,-177.832,-229.577,-79.7565,-232.471,-85.0607
70,-232.148,-23.5458,-232.875,-40.4406,-215.036,-40.008,-189.765,-56.2609,-199.914,-35.0511,-249.733,-40.4905,-274.412,-56.5312,-265.627,-35.4075,-232.128,-92.6483,-221.192,-92.3406,-217.186,-139.402,-214.402,-182.614,-243.131,-93.2942,-248.579,-139.075,-249.949,-180.426,-228.721,-19.0362,-236.244,-19.1144,-223.204,-18.986,-239.802,-19.7579,-248.446,-192.557,-253.728,-190.357,-249.292,-182.61,-214.902,-194.506,-209.563,-193.733,-214.949,-183.902,-229.596,-84.7348,-232.502,-90.0542
71,-232.163,-29.4438,-232.792,-46.0204,-215.055,-45.889,-189.708,-63.053,-200.05,-41.1413,-249.412,-46.0004,-274.681,-62.2152,-265.723,-41.3827,-232.169,-98.621,-221.216,-98.7801,-217.065,-145.436,-213.639,-189.176,-243.104,-98.6451,-249.252,-144.526,-249.972,-187.179,-228.73,-24.9025,-236.272,-25.5357,-223.268,-24.9455,-240.299,-27.6198,-248.637,-199.217,-254.237,-197.967,-249.288,-188.521,-215.107,-200.026,-209.553,-199.356,-215.07,-191.962,-229.609,-90.5442,-232.507,-95.904
72,-232.173,-36.4097,-232.826,-53.509,-215.721,-53.5007,-190.389,-70.6277,-200.024,-48.7178,-249.943,-52.8452,-275.27,-68.5651,-265.707,-50.7458,-232.164,-106.905,-221.205,-106.902,-217.096,-154.119,-212.3,-197.923,-243.133,-106.908,-249.274,-152.762,-250.646,-195.189,-228.735,-34.3131,-236.256,-34.3516,-223.25,-34.3157,-239.68,-35.0273,-249.288,-205.465,-254.767,-204.776,-249.947,-197.928,-212.994,-209.564,-208.19,-206.845,-214.349,-199.974,-229.642,-98.4028,-232.497,-103.957
